timestamp,predicted,actual
2023-12-14T16:39:08,3.204182680784116e-07,6.410701647481926e-07
2023-12-14T16:39:18,6.474832026815882e-07,9.616232371299564e-07
2023-12-14T16:39:28,9.743190757523194e-07,1.282101097856593e-06
2023-12-14T16:39:38,1.3164778959169583e-06,1.6026104679396516e-06
2023-12-14T16:39:48,1.6516292194183644e-06,1.9231182163432028e-06
2023-12-14T16:39:58,1.9867075859062544e-06,2.2436408465550447e-06
2023-12-14T16:40:08,2.3164891215786374e-06,2.5641652864261364e-06
2023-12-14T16:40:18,2.6453370485829777e-06,2.884679754160841e-06
2023-12-14T16:40:28,2.9780030694076983e-06,3.2050858368539446e-06
2023-12-14T16:40:38,3.361254689132803e-06,3.525605188755764e-06
2023-12-14T16:40:48,3.677173931780863e-06,3.846129002972338e-06
2023-12-14T16:40:58,3.994080238358119e-06,4.166654557733331e-06
2023-12-14T16:41:08,4.311499949739707e-06,4.487179421975775e-06
2023-12-14T16:41:18,4.620175916685832e-06,4.807699823273717e-06
2023-12-14T16:41:28,4.9358726654502555e-06,5.128225181789528e-06
2023-12-14T16:41:38,5.2476418778319114e-06,5.448754773470583e-06
2023-12-14T16:41:48,5.5618238732267155e-06,5.769194786349675e-06
2023-12-14T16:41:58,5.9340583765054765e-06,6.089718338197538e-06
2023-12-14T16:42:08,6.245357216240152e-06,6.410248214996946e-06
2023-12-14T16:42:18,6.516926269429067e-06,6.7307946871486245e-06
2023-12-14T16:42:28,6.82093073838672e-06,7.05132247019377e-06
2023-12-14T16:42:38,7.142020818661735e-06,7.371690881841046e-06
2023-12-14T16:42:48,7.5640899789566805e-06,7.692218336315236e-06
2023-12-14T16:42:58,7.876985067936294e-06,8.012593808931888e-06
2023-12-14T16:43:08,8.298055084587942e-06,8.333134356494237e-06
2023-12-14T16:43:18,8.602510997713998e-06,8.65361308249446e-06
2023-12-14T16:43:28,8.941984858052263e-06,8.97413819682553e-06
2023-12-14T16:43:38,9.212495682116462e-06,9.294525604660143e-06
2023-12-14T16:43:48,9.613475265913192e-06,9.615011511990309e-06
2023-12-14T16:43:58,9.95250458240086e-06,9.93553190132304e-06
2023-12-14T16:44:08,1.0252731175787672e-05,1.0255927420940087e-05
2023-12-14T16:44:18,1.0648824867953556e-05,1.0576369510727688e-05
2023-12-14T16:44:28,1.0934204827159361e-05,1.0896765158813304e-05
2023-12-14T16:44:38,1.1296607893845289e-05,1.1217297953077202e-05
2023-12-14T16:44:48,1.1540522558961071e-05,1.153775129441272e-05
2023-12-14T16:44:58,1.1859586999322714e-05,1.1858290732438025e-05
2023-12-14T16:45:08,1.2154226536405939e-05,1.2178734135486109e-05
2023-12-14T16:45:18,1.248589630124363e-05,1.2499272949195106e-05
2023-12-14T16:45:28,1.2730961237359322e-05,1.281982002834502e-05
2023-12-14T16:45:38,1.3007159019455743e-05,1.314021434774133e-05
2023-12-14T16:45:48,1.337965594895158e-05,1.3460741510012504e-05
2023-12-14T16:45:58,1.3665258059074745e-05,1.3781278343558016e-05
2023-12-14T16:46:08,1.3900699668109998e-05,1.4101817914696276e-05
2023-12-14T16:46:18,1.4179600542215928e-05,1.4422354718879792e-05
2023-12-14T16:46:28,1.4480295740794918e-05,1.4742889136712438e-05
2023-12-14T16:46:38,1.4778373212342898e-05,1.5063327868605624e-05
2023-12-14T16:46:48,1.515119930118918e-05,1.5383878430969777e-05
2023-12-14T16:46:58,1.5425925411224114e-05,1.5704574154785782e-05
2023-12-14T16:47:08,1.5716078666519276e-05,1.602511169561688e-05
2023-12-14T16:47:18,1.6040575210358175e-05,1.6345802880052732e-05
2023-12-14T16:47:28,1.633761572303478e-05,1.6666355295292586e-05
2023-12-14T16:47:38,1.6676500066732426e-05,1.69868953717248e-05
2023-12-14T16:47:48,1.7057164583568202e-05,1.7307313798342243e-05
2023-12-14T16:47:58,1.7352040149527402e-05,1.7627811605939362e-05
2023-12-14T16:48:08,1.771859207351869e-05,1.794880193825082e-05
2023-12-14T16:48:18,1.8173809917055047e-05,1.826934795052911e-05
2023-12-14T16:48:28,1.8419031587089556e-05,1.85898869217538e-05
2023-12-14T16:48:38,1.8823928596501328e-05,1.8910415449160937e-05
2023-12-14T16:48:48,1.914803618803161e-05,1.9230950186905503e-05
2023-12-14T16:48:58,1.947742794390429e-05,1.9551350524408703e-05
2023-12-14T16:49:08,1.9763406187738376e-05,1.987189582672497e-05
2023-12-14T16:49:18,2.010587193677302e-05,2.019234034403321e-05
2023-12-14T16:49:28,2.0348053833221188e-05,2.0512770159798484e-05
2023-12-14T16:49:38,2.06167532281476e-05,2.0833319060336703e-05
2023-12-14T16:49:48,2.097685092675133e-05,2.1153888415086044e-05
2023-12-14T16:49:58,2.1359175548417366e-05,2.147438678166313e-05
2023-12-14T16:50:08,2.1682228883948304e-05,2.1794956645091318e-05
2023-12-14T16:50:18,2.201405069703113e-05,2.2115530666980903e-05
2023-12-14T16:50:28,2.234954939983505e-05,2.243607700893221e-05
2023-12-14T16:50:38,2.2680392885181484e-05,2.2756641249341584e-05
2023-12-14T16:50:48,2.3031284807951915e-05,2.3077152599588134e-05
2023-12-14T16:50:58,2.3337938895259933e-05,2.3397622692217247e-05
2023-12-14T16:51:08,2.3649755923984348e-05,2.371817703094328e-05
2023-12-14T16:51:18,2.3990626187656668e-05,2.4038772762918697e-05
2023-12-14T16:51:28,2.4334911834307686e-05,2.435925389321761e-05
2023-12-14T16:51:38,2.4638095669299817e-05,2.46795492533237e-05
2023-12-14T16:51:48,2.4877549215913243e-05,2.4999862398375804e-05
2023-12-14T16:51:58,2.513687737731409e-05,2.532027428671461e-05
2023-12-14T16:52:08,2.5454317206183284e-05,2.564082474761063e-05
2023-12-14T16:52:18,2.5804605551360312e-05,2.5961353166701136e-05
2023-12-14T16:52:28,2.6134932861494395e-05,2.628189851042333e-05
2023-12-14T16:52:38,2.6473305246576285e-05,2.6602458722099365e-05
2023-12-14T16:52:48,2.681375367953439e-05,2.6923198491820256e-05
2023-12-14T16:52:58,2.7159935456922948e-05,2.7243626316952487e-05
2023-12-14T16:53:08,2.7427348503908962e-05,2.7564506152441543e-05
2023-12-14T16:53:18,2.7827159481580373e-05,2.788505910918586e-05
2023-12-14T16:53:28,2.8187481345860007e-05,2.820553112112907e-05
2023-12-14T16:53:38,2.851490642615999e-05,2.8526033482590535e-05
2023-12-14T16:53:48,2.883138650297947e-05,2.884651982452546e-05
2023-12-14T16:53:58,2.9131002926967577e-05,2.916706288958367e-05
2023-12-14T16:54:08,2.9475533516426155e-05,2.9487615688576132e-05
2023-12-14T16:54:18,2.9807550909233835e-05,2.9808167097951185e-05
2023-12-14T16:54:28,3.0140534576277582e-05,3.0128677730048992e-05
2023-12-14T16:54:38,3.0425244203784657e-05,3.0449191407528823e-05
2023-12-14T16:54:48,3.0769348914321185e-05,3.0769800177883056e-05
2023-12-14T16:54:58,3.105718108209013e-05,3.109053329620685e-05
2023-12-14T16:55:08,3.141783813432484e-05,3.141093468696338e-05
2023-12-14T16:55:18,3.170402818470191e-05,3.17314139542319e-05
2023-12-14T16:55:28,3.200778641342413e-05,3.205197651982679e-05
2023-12-14T16:55:38,3.233800801455732e-05,3.237257334315528e-05
2023-12-14T16:55:48,3.267980004057908e-05,3.26930611585428e-05
2023-12-14T16:55:58,3.2988218379644287e-05,3.301360360022934e-05
2023-12-14T16:56:08,3.330412346199985e-05,3.333409783471571e-05
2023-12-14T16:56:18,3.362293582901975e-05,3.3654666069694605e-05
2023-12-14T16:56:28,3.3965175086557195e-05,3.3975096986416605e-05
2023-12-14T16:56:38,3.425191361895058e-05,3.429569350841073e-05
2023-12-14T16:56:48,3.4555618349897385e-05,3.461621610713518e-05
2023-12-14T16:56:58,3.489674940538303e-05,3.493677860818092e-05
2023-12-14T16:57:08,3.523675691877384e-05,3.525720781143766e-05
